file_name,pred_eform,true_eform,material_id,e_hull,true_label,pred_label
mp-727248.cif,-1.3417523,-1.2039232,mp-727248,0.5951537091337737,Stable,Stable
mp-864887.cif,-1.457617,-1.3194934,mp-864887,0.0052346487777752415,Stable,Stable
mp-1245856.cif,-1.1263353,-0.86299986,mp-1245856,0.03568654249999881,Stable,Stable
mp-1428795.cif,0.0527715,-0.14103907,mp-1428795,0.3744327469999966,Stable,Unstable
mp-776212.cif,-2.8218925,-2.5292504,mp-776212,0.1295248295000011,Stable,Stable
mp-1106163.cif,-0.78043747,-0.5293085,mp-1106163,1.3698039407638873,Stable,Stable
mp-1029832.cif,-1.2432694,-1.2667731,mp-1029832,0.0,Stable,Stable
mp-1181105.cif,-0.4878005,-0.49824595,mp-1181105,0.17512676107638647,Stable,Stable
mp-1019743.cif,-0.7427051,-0.63229287,mp-1019743,0.2234889624999994,Stable,Stable
mp-1247100.cif,-0.50399035,-0.48115614,mp-1247100,0.03846265814814842,Stable,Stable
mp-1246749.cif,-0.46470138,-0.45135495,mp-1246749,0.11373015505050432,Stable,Stable
mp-1181093.cif,-0.81301016,-0.7378855,mp-1181093,0.2038277038157874,Stable,Stable
mp-605860.cif,-0.37065837,-0.3641581,mp-605860,0.05486756677083493,Stable,Stable
mp-556430.cif,-0.16350716,0.08420891,mp-556430,0.4215904067389449,Unstable,Stable
mp-776466.cif,-3.2421224,-3.1849384,mp-776466,0.06253987978573505,Stable,Stable
mp-1246615.cif,-0.7591926,-0.5487742,mp-1246615,0.38517526985713957,Stable,Stable
mp-1198019.cif,-1.4761562,-1.6385127,mp-1198019,0.0,Stable,Stable
mp-21327.cif,0.7447879,0.6869435,mp-21327,1.874561988295448,Unstable,Unstable
mp-1228943.cif,-1.1004246,-0.9194223,mp-1228943,0.003032757499999761,Stable,Stable
mp-1194847.cif,-0.37389657,-0.37893367,mp-1194847,0.0056640455965997205,Stable,Stable
mp-1219270.cif,-0.24916092,-0.19670345,mp-1219270,0.1431928514285694,Stable,Stable
mp-1198510.cif,-1.5344013,-1.6361829,mp-1198510,0.0,Stable,Stable
mp-1246274.cif,-0.27214232,0.13976212,mp-1246274,0.3323155952107282,Unstable,Stable
mp-1246180.cif,-0.7422917,-0.6686778,mp-1246180,0.24563143111111074,Stable,Stable
mp-643123.cif,-0.1891514,-0.18685247,mp-643123,0.7354487118611104,Stable,Stable
mp-1096968.cif,0.08401314,-0.13182916,mp-1096968,0.3676287164583325,Stable,Unstable
mp-1247510.cif,0.095797665,0.3385368,mp-1247510,0.4076725443681326,Unstable,Unstable
mp-37550.cif,-1.0367022,-1.2515666,mp-37550,0.09153768583332322,Stable,Stable
mp-1246933.cif,-0.5699463,-0.15944523,mp-1246933,0.4942257983333356,Stable,Stable
mp-1247282.cif,-1.1681932,-1.058536,mp-1247282,0.09599881486110995,Stable,Stable
mp-726709.cif,0.3515163,0.29210943,mp-726709,1.2510394744444477,Unstable,Unstable
mp-29156.cif,-1.2953575,-1.1911929,mp-29156,0.0380106026190461,Stable,Stable
mp-1419.cif,0.44328523,0.45019734,mp-1419,0.4501973490340916,Unstable,Unstable
mp-1229212.cif,-0.52487737,-0.4187777,mp-1229212,0.34586170461538224,Stable,Stable
mp-776321.cif,-0.5466679,-0.31741327,mp-776321,0.14700750083333247,Stable,Stable
mp-1029574.cif,-0.0929539,-0.17029625,mp-1029574,0.017569250097702493,Stable,Stable
mp-1246519.cif,-0.6470675,-0.6859712,mp-1246519,0.12449259646052546,Stable,Stable
mp-22631.cif,0.13664526,0.17786528,mp-22631,0.17786528208333507,Unstable,Unstable
mp-1238356.cif,-0.501528,-0.21223266,mp-1238356,0.3979377357812499,Stable,Stable
mp-601326.cif,-0.77476454,-0.7010682,mp-601326,0.0,Stable,Stable
mp-626542.cif,0.0642958,-0.07531711,mp-626542,0.8769928056666663,Stable,Unstable
mp-1079486.cif,2.899684,2.4633703,mp-1079486,2.4623492563888885,Unstable,Unstable
mp-11670.cif,-1.5153681,-1.4360827,mp-11670,0.0,Stable,Stable
mp-1246076.cif,-0.21923912,-0.12764907,mp-1246076,0.3465357596153851,Stable,Stable
mp-1078929.cif,0.13474968,-0.015045646,mp-1078929,0.7498316949999997,Stable,Unstable
mp-1247225.cif,-0.8188622,-0.6695537,mp-1247225,0.19210678874999942,Stable,Stable
mp-1228339.cif,-1.9871562,-1.7416664,mp-1228339,0.2658820272916671,Stable,Stable
mp-1223097.cif,-0.7737453,-0.573988,mp-1223097,0.008584822812499837,Stable,Stable
mp-707274.cif,-0.90737617,-0.907063,mp-707274,0.1944709083007803,Stable,Stable
mp-510380.cif,-0.16824305,-0.20966135,mp-510380,0.06883214624999923,Stable,Stable
mp-552185.cif,-0.651869,-0.6806635,mp-552185,0.0,Stable,Stable
mp-1246609.cif,-0.4186748,-0.24216267,mp-1246609,0.03854832699999733,Stable,Stable
mp-1212631.cif,-0.70635885,-1.1339371,mp-1212631,0.5506877583680545,Stable,Stable
mp-759161.cif,-0.31040522,-0.36708102,mp-759161,0.08723175328124988,Stable,Stable
mp-1245876.cif,-0.63027906,-0.28706118,mp-1245876,0.38920278187499946,Stable,Stable
mp-604245.cif,-1.6675667,-1.5553647,mp-604245,0.009732543000000149,Stable,Stable
mp-6825.cif,-1.4189138,-1.377012,mp-6825,0.0,Stable,Stable
mp-560716.cif,-1.2032976,-1.2484245,mp-560716,0.0,Stable,Stable
mp-9499.cif,-2.3787112,-2.4170752,mp-9499,0.025937065833330664,Stable,Stable
mp-1246402.cif,-0.98184466,-0.7416239,mp-1246402,0.30344018305555664,Stable,Stable
mp-1197085.cif,-0.6198034,-0.92084587,mp-1197085,0.8963390172500034,Stable,Stable
mp-1182706.cif,1.6563649,2.3226786,mp-1182706,3.089854534583333,Unstable,Unstable
mp-30148.cif,-0.046981283,-0.16350679,mp-30148,0.5429827012500006,Stable,Stable
mp-4678.cif,-1.4533584,-1.2573208,mp-4678,0.020636522083336217,Stable,Stable
mp-1189871.cif,-0.9692906,-0.96590966,mp-1189871,0.0,Stable,Stable
mp-561502.cif,-1.4070599,-1.3700258,mp-561502,0.144262260416669,Stable,Stable
mp-1245678.cif,-1.7390096,-1.5827153,mp-1245678,0.25692945609375073,Stable,Stable
mp-1246450.cif,0.15488304,0.30257252,mp-1246450,0.36307585833333267,Unstable,Unstable
mp-699469.cif,-0.8555808,-0.8116166,mp-699469,0.0,Stable,Stable
mp-541712.cif,-1.8376408,-1.5301495,mp-541712,0.0,Stable,Stable
mp-976247.cif,0.6328049,0.4105809,mp-976247,0.4649287656746015,Unstable,Unstable
mp-1245486.cif,-0.59801954,-0.55080426,mp-1245486,0.2890318050000005,Stable,Stable
mp-569580.cif,-1.92677,-1.8325698,mp-569580,0.04372773589285739,Stable,Stable
mp-773830.cif,-0.7778959,-0.5790105,mp-773830,0.21727048974999974,Stable,Stable
mp-1019378.cif,-1.7659843,-1.409948,mp-1019378,0.017318488749999972,Stable,Stable
mp-570315.cif,-0.725276,-0.6812591,mp-570315,0.26315332487499177,Stable,Stable
mp-1080799.cif,0.07687984,-0.24628071,mp-1080799,0.9402272565000009,Stable,Unstable
mp-1246275.cif,-0.49198458,-0.24944954,mp-1246275,0.1447163583333282,Stable,Stable
mp-1360641.cif,-0.15163052,1.2516769,mp-1360641,2.152743505564705,Unstable,Stable
mp-1196230.cif,-0.8586242,-0.7911865,mp-1196230,0.355157582173911,Stable,Stable
mp-1078389.cif,-0.6332199,-0.53546226,mp-1078389,0.010758138749999091,Stable,Stable
mp-1018099.cif,-1.8674668,-1.5439935,mp-1018099,0.015742234791666476,Stable,Stable
mp-1247051.cif,-0.0034327134,-0.07974134,mp-1247051,0.21248991158333386,Stable,Stable
mp-1208340.cif,0.14882633,0.5711334,mp-1208340,2.073906894375,Unstable,Unstable
mp-605821.cif,-2.079119,-1.8245722,mp-605821,0.15121970517857175,Stable,Stable
mp-1245538.cif,-0.26346815,-0.20507258,mp-1245538,0.032032299999999125,Stable,Stable
mp-13098.cif,-1.230084,-1.0635793,mp-13098,0.9360380049999986,Stable,Stable
mp-1029517.cif,-0.53815985,-0.40573376,mp-1029517,0.1162830578125007,Stable,Stable
mp-1247394.cif,-0.13410187,-0.12159061,mp-1247394,0.09615111416666622,Stable,Stable
mp-679983.cif,-0.721799,-0.6629188,mp-679983,0.007183700694458395,Stable,Stable
mp-1245596.cif,-0.1309754,0.07934669,mp-1245596,0.2960599271264357,Unstable,Stable
mp-1189295.cif,-0.3322374,-0.39651558,mp-1189295,1.2076156122222237,Stable,Stable
mp-27970.cif,-0.016966015,0.07976953,mp-27970,0.05397993733333628,Unstable,Stable
mp-1219350.cif,-1.1090162,-1.1374401,mp-1219350,0.028990906449270604,Stable,Stable
mp-607806.cif,-2.2895174,-2.1640408,mp-607806,0.0,Stable,Stable
mp-1217099.cif,-1.2977226,-1.1170639,mp-1217099,0.002745354999998284,Stable,Stable
mp-703444.cif,-1.7011852,-1.8442161,mp-703444,0.0,Stable,Stable
mp-1246612.cif,-0.5106654,-0.45334926,mp-1246612,0.2562688637500017,Stable,Stable
mp-1245480.cif,-0.9398489,-0.7599215,mp-1245480,0.21226373097222329,Stable,Stable
mp-1180345.cif,-0.08314303,-0.059301794,mp-1180345,0.39156547662499985,Stable,Stable
mp-1391177.cif,-0.9532683,-0.6724595,mp-1391177,0.13227267600000037,Stable,Stable
mp-776452.cif,-3.301067,-3.1635885,mp-776452,0.09467033101190836,Stable,Stable
mp-2718.cif,0.5697433,0.37373745,mp-2718,0.37373745291666616,Unstable,Unstable
mp-868032.cif,-1.1532446,-1.1362761,mp-868032,0.15855172639535198,Stable,Stable
mp-1097065.cif,-1.3230107,-1.4318192,mp-1097065,0.0,Stable,Stable
mp-648211.cif,-1.0208755,-0.9576256,mp-648211,0.02243096619791718,Stable,Stable
mp-1246014.cif,-0.40776882,-0.32868868,mp-1246014,0.19134684041666628,Stable,Stable
mp-706430.cif,-1.1049436,-1.0124336,mp-706430,0.04156773000000058,Stable,Stable
mp-1202072.cif,-1.0695204,-0.9191792,mp-1202072,0.27558607326922946,Stable,Stable
mp-1029619.cif,-0.65788245,-0.44699836,mp-1029619,0.08901903880953022,Stable,Stable
mp-1194108.cif,-1.169548,-1.1281319,mp-1194108,0.0,Stable,Stable
mp-1200895.cif,-0.36581445,-0.33560386,mp-1200895,0.039933175216051886,Stable,Stable
mp-1225717.cif,0.38081646,0.38914827,mp-1225717,0.38914827374999916,Unstable,Unstable
mp-1220939.cif,-2.0496771,-1.8016781,mp-1220939,0.10507952406250087,Stable,Stable
mp-1218704.cif,-3.0827167,-2.8309057,mp-1218704,0.04340295928571791,Stable,Stable
mp-8102.cif,-0.18434593,-0.16570918,mp-8102,0.36505740142857235,Stable,Stable
mp-1194674.cif,-0.49140295,-0.5124463,mp-1194674,0.0,Stable,Stable
mp-1009601.cif,1.2549781,1.1390628,mp-1009601,1.1390627124999995,Unstable,Unstable
mp-1245473.cif,-0.107714914,-0.11910247,mp-1245473,0.3104531984999994,Stable,Stable
mp-1225528.cif,-1.0742214,-1.1740572,mp-1225528,0.05166429749999679,Stable,Stable
mp-1245584.cif,-0.17166322,-0.06912931,mp-1245584,0.31151733555555516,Stable,Stable
mp-1244975.cif,-0.059698455,-0.052312035,mp-1244975,0.6177373734000007,Stable,Stable
mp-1197127.cif,0.75311565,1.0154068,mp-1197127,1.1620918630555526,Unstable,Unstable
mp-1206884.cif,-0.37313822,-0.1559953,mp-1206884,0.04054900744444545,Stable,Stable
mp-1247475.cif,0.07974442,0.15376131,mp-1247475,0.18953030909090884,Unstable,Unstable
