(base) root@fd3643bcbac3:~/my_codes/cgcnn_new# python predict.py pre-trained/formation-energy-per-atom.pth data/B_materials
Total CIF files found: 5456
Test set size: 1091 materials

==================== TEST RESULTS ====================
Number of test materials: 1091
MAE : 0.108047 eV/atom
MSE : 0.047787 (eV/atom)^2
====================================================

Material-wise Predictions:
mp-850950            | Ground Truth: -2.390036 | Predicted: -2.410858
mp-1204932           | Ground Truth: -1.338081 | Predicted: -1.709295
mp-756186            | Ground Truth: -2.426466 | Predicted: -2.482201
mp-706631            | Ground Truth: -2.529861 | Predicted: -2.556003
mp-504627            | Ground Truth: -0.501022 | Predicted: -0.563722
mp-560899            | Ground Truth: -2.270877 | Predicted: -2.336277
mp-1173486           | Ground Truth: -3.451782 | Predicted: -3.483713
mp-754325            | Ground Truth: -2.301292 | Predicted: -2.394973
mp-567719            | Ground Truth: -0.390203 | Predicted: -0.303499
mp-761857            | Ground Truth: -2.800930 | Predicted: -2.833014
mp-1034284           | Ground Truth: -2.612829 | Predicted: -2.826560
mp-558805            | Ground Truth: -2.799581 | Predicted: -2.830389
mp-559364            | Ground Truth: -2.643128 | Predicted: -2.647927
mp-849568            | Ground Truth: -2.474012 | Predicted: -2.480850
mp-770654            | Ground Truth: -2.301497 | Predicted: -2.349753
mp-726274            | Ground Truth: -1.750632 | Predicted: -2.414625
mp-1196351           | Ground Truth: -2.003198 | Predicted: -2.046461
mp-773205            | Ground Truth: -2.496439 | Predicted: -2.518181
mp-1033729           | Ground Truth: -2.703068 | Predicted: -2.913874
mp-1027782           | Ground Truth: 0.269615 | Predicted: 0.189856
mp-1209806           | Ground Truth: -0.108371 | Predicted: -0.142574
mp-1238800           | Ground Truth: -0.150913 | Predicted: -0.352744
mp-1225723           | Ground Truth: -0.651591 | Predicted: -0.662786
mp-979948            | Ground Truth: -0.556876 | Predicted: -0.568974
mp-1204785           | Ground Truth: -2.606310 | Predicted: -2.641373
mp-1191941           | Ground Truth: -0.602181 | Predicted: -0.502996
mp-973540            | Ground Truth: -0.552443 | Predicted: -0.461832
mp-23742             | Ground Truth: -2.126573 | Predicted: -2.154595
mp-779068            | Ground Truth: -2.532248 | Predicted: -2.539379
mp-775322            | Ground Truth: -2.280556 | Predicted: -2.375682
