(base) root@fd3643bcbac3:~/my_codes/cgcnn_new# python predict.py pre-trained/formation-energy-per-atom.pth data/C_materials
Total CIF files found: 5281
Test set size: 1056 materials

==================== TEST RESULTS ====================
Number of test materials: 1056
MAE : 0.213669 eV/atom
MSE : 0.138307 (eV/atom)^2
====================================================

Material-wise Predictions:
mp-648157            | Ground Truth: -0.953001 | Predicted: -0.771169
mp-1209399           | Ground Truth: -0.352022 | Predicted: -0.406055
mp-653887            | Ground Truth: -0.794082 | Predicted: -0.952235
mp-1026448           | Ground Truth: 0.289244 | Predicted: 0.102171
mp-1036764           | Ground Truth: -2.819111 | Predicted: -2.956554
mp-1196308           | Ground Truth: 0.403657 | Predicted: 0.028263
mp-1202054           | Ground Truth: -0.065812 | Predicted: 0.072421
mp-568422            | Ground Truth: -0.036526 | Predicted: -0.129033
mp-1191793           | Ground Truth: -2.442579 | Predicted: -2.663025
mp-571432            | Ground Truth: -1.550941 | Predicted: -1.365172
mp-20350             | Ground Truth: -0.302077 | Predicted: -0.315809
mp-1196543           | Ground Truth: -0.068790 | Predicted: -0.090397
mp-1095701           | Ground Truth: -2.787131 | Predicted: -2.935878
mp-757965            | Ground Truth: -1.971131 | Predicted: -1.971994
mp-567885            | Ground Truth: 0.147556 | Predicted: 0.121260
mp-1181157           | Ground Truth: -1.349280 | Predicted: -1.937187
mp-567262            | Ground Truth: 0.154870 | Predicted: -0.065704
mp-1033792           | Ground Truth: -2.645568 | Predicted: -2.872462
mp-1103294           | Ground Truth: -0.111134 | Predicted: -0.847572
mp-1217920           | Ground Truth: -1.225131 | Predicted: -1.129686
mp-28913             | Ground Truth: -2.011288 | Predicted: -1.989210
mp-1226352           | Ground Truth: -0.173132 | Predicted: -0.094820
mp-1021328           | Ground Truth: -0.255563 | Predicted: -0.262016
mp-621953            | Ground Truth: -1.016372 | Predicted: -1.088351
mp-571330            | Ground Truth: -0.282442 | Predicted: -0.247767
mp-1209218           | Ground Truth: -0.518427 | Predicted: -1.002895
mp-1200504           | Ground Truth: -1.376192 | Predicted: -1.380534
mp-648805            | Ground Truth: -0.904422 | Predicted: -0.731723
mp-1217933           | Ground Truth: -0.877919 | Predicted: -0.802138
mp-1206141           | Ground Truth: -0.460577 | Predicted: -0.505813
mp-1225512           | Ground Truth: -0.185039 | Predicted: -0.198388
mp-1038482           | Ground Truth: -2.825253 | Predicted: -2.994678
mp-1202759           | Ground Truth: -2.552757 | Predicted: -2.781605
mp-1197136           | Ground Truth: -0.389482 | Predicted: -0.498404
mp-2367              | Ground Truth: -0.330962 | Predicted: -0.231694
mp-568498            | Ground Truth: -0.933420 | Predicted: -0.924721
mp-1209042           | Ground Truth: -0.901636 | Predicted: -1.132408
mp-1103814           | Ground Truth: -0.506421 | Predicted: -0.584163
mp-1247167           | Ground Truth: 0.352198 | Predicted: 0.286650
mp-1217822           | Ground Truth: -0.546012 | Predicted: -0.451251
mp-1552              | Ground Truth: -0.139050 | Predicted: 0.014198
mp-979413            | Ground Truth: 1.253896 | Predicted: 0.917670
mp-1173626           | Ground Truth: -3.064966 | Predicted: -3.291739
mp-696396            | Ground Truth: -1.849653 | Predicted: -1.874816
mp-1178946           | Ground Truth: -0.438454 | Predicted: -0.387595
mp-1181679           | Ground Truth: 1.009392 | Predicted: 0.277304
mp-1235617           | Ground Truth: -2.306542 | Predicted: -2.599665
mp-1205624           | Ground Truth: -0.472032 | Predicted: -0.477480
mp-1009071           | Ground Truth: 1.454950 | Predicted: 1.084004
mp-569275            | Ground Truth: -0.302025 | Predicted: -0.208660
mp-47                | Ground Truth: 0.139477 | Predicted: 0.399200
mp-2958              | Ground Truth: -0.545605 | Predicted: -0.484604
mp-752765            | Ground Truth: -1.998395 | Predicted: -1.970816
mp-1245761           | Ground Truth: 0.500986 | Predicted: -0.276414
mp-1001606           | Ground Truth: -0.284733 | Predicted: -0.303450
mp-3802              | Ground Truth: -0.639051 | Predicted: -0.547964
mp-1216537           | Ground Truth: -0.832885 | Predicted: -0.842292
mp-696210            | Ground Truth: -0.385603 | Predicted: -0.306110
mp-1033178           | Ground Truth: -1.969177 | Predicted: -2.398028
mp-1203749           | Ground Truth: -0.086492 | Predicted: -0.241992
mp-1182559           | Ground Truth: -0.875221 | Predicted: -1.344794
mp-1026540           | Ground Truth: 0.174469 | Predicted: -0.034888
mp-638137            | Ground Truth: 0.295762 | Predicted: 0.316037
mp-30051             | Ground Truth: -1.067101 | Predicted: -1.321648
mp-760536            | Ground Truth: -1.299431 | Predicted: -1.351330
mp-555646            | Ground Truth: -1.780843 | Predicted: -1.863386
mp-1035738           | Ground Truth: -2.634276 | Predicted: -2.906672
mp-1246444           | Ground Truth: 0.357783 | Predicted: 0.091525
mp-1197606           | Ground Truth: 0.496454 | Predicted: 0.003477
mp-725152            | Ground Truth: -0.969519 | Predicted: -1.349036
mp-559788            | Ground Truth: -0.947377 | Predicted: -0.839861
mp-571165            | Ground Truth: -0.068897 | Predicted: -0.067900
mp-1245403           | Ground Truth: 0.379603 | Predicted: 0.400899
mp-1193869           | Ground Truth: -0.024991 | Predicted: -0.054703
mp-1102779           | Ground Truth: 0.179591 | Predicted: 0.192422
mp-1180018           | Ground Truth: -1.512630 | Predicted: -1.824633
mp-757925            | Ground Truth: -1.194399 | Predicted: -1.406436
mp-667495            | Ground Truth: -0.940990 | Predicted: -0.819703
mp-1197979           | Ground Truth: -0.791625 | Predicted: -0.787050
mp-1204855           | Ground Truth: -1.268703 | Predicted: -1.826511
mp-568433            | Ground Truth: -0.141475 | Predicted: -0.327191
mp-1212588           | Ground Truth: -0.228046 | Predicted: -0.326082
mp-559900            | Ground Truth: -0.119060 | Predicted: -0.071712
mp-562661            | Ground Truth: -0.935315 | Predicted: -1.271338
mp-1189642           | Ground Truth: 0.251433 | Predicted: 0.026759
mp-1034502           | Ground Truth: -2.632293 | Predicted: -2.920065
mp-758984            | Ground Truth: -0.187673 | Predicted: -0.145885
mp-1198679           | Ground Truth: -0.106404 | Predicted: -0.069674
mp-1246013           | Ground Truth: -0.232449 | Predicted: -0.350879
mp-540801            | Ground Truth: -0.247793 | Predicted: -0.314420
mp-1184550           | Ground Truth: 0.443148 | Predicted: 0.445179
mp-937760            | Ground Truth: 0.006056 | Predicted: 0.004518
mp-8044              | Ground Truth: -0.684765 | Predicted: -0.737924
mp-1105990           | Ground Truth: -0.722081 | Predicted: -0.707298
mp-1226369           | Ground Truth: 0.118045 | Predicted: -0.117649
mp-559653            | Ground Truth: -2.684146 | Predicted: -2.749498
mp-707412            | Ground Truth: -0.125109 | Predicted: -0.086086
mp-1211853           | Ground Truth: -1.625126 | Predicted: -1.744468
mp-1203312           | Ground Truth: -0.634651 | Predicted: -0.522679
mp-3346808           | Ground Truth: -2.327314 | Predicted: -2.615360
mp-569304            | Ground Truth: 0.009060 | Predicted: 0.005733
mp-571437            | Ground Truth: -1.201376 | Predicted: -1.154912
mp-1197268           | Ground Truth: -0.180858 | Predicted: -0.699758
mp-1001080           | Ground Truth: -1.519621 | Predicted: -1.571200
mp-1173027           | Ground Truth: -0.704850 | Predicted: -0.887857
mp-1216068           | Ground Truth: -0.173467 | Predicted: -0.202485
mp-568155            | Ground Truth: -0.178703 | Predicted: -0.150693
mp-15604             | Ground Truth: -0.653382 | Predicted: -0.561715
mp-744019            | Ground Truth: 0.092154 | Predicted: -0.202028
mp-1206310           | Ground Truth: -0.405855 | Predicted: -0.475777
mp-6191              | Ground Truth: -0.614215 | Predicted: -0.613875
mp-6246              | Ground Truth: -3.235167 | Predicted: -3.335777
mp-1223611           | Ground Truth: -0.166358 | Predicted: -0.189555
mp-763059            | Ground Truth: -2.044741 | Predicted: -2.103158
mp-541859            | Ground Truth: -0.497133 | Predicted: -0.388840
mp-1214358           | Ground Truth: -1.929127 | Predicted: -2.282754
mp-1078811           | Ground Truth: -0.508796 | Predicted: -0.511417
mp-7631              | Ground Truth: -0.305939 | Predicted: -0.199741
mp-1210402           | Ground Truth: -1.875786 | Predicted: -2.006950
mp-22263             | Ground Truth: 1.501190 | Predicted: 0.445991
mp-10706             | Ground Truth: -0.377480 | Predicted: -0.367429
mp-556112            | Ground Truth: -0.161661 | Predicted: -0.517527
mp-648264            | Ground Truth: -0.926226 | Predicted: -0.764492
mp-1638861           | Ground Truth: -2.091944 | Predicted: -2.101741
mp-1210077           | Ground Truth: -0.390313 | Predicted: -0.311644
mp-667389            | Ground Truth: -0.909038 | Predicted: -0.739442
mp-1222244           | Ground Truth: -1.122460 | Predicted: -1.291248
mp-647969            | Ground Truth: -0.713803 | Predicted: -0.926217
mp-1014333           | Ground Truth: 0.660527 | Predicted: 0.885827
mp-1314097           | Ground Truth: -1.937747 | Predicted: -1.888810
mp-1218094           | Ground Truth: -0.380527 | Predicted: -0.407889
mp-1226575           | Ground Truth: 0.037582 | Predicted: -0.155003
mp-13589             | Ground Truth: 0.076228 | Predicted: 0.170452
mp-1197681           | Ground Truth: -0.182988 | Predicted: -0.083426
mp-1220415           | Ground Truth: 0.292303 | Predicted: -0.023786
mp-1214051           | Ground Truth: -2.892657 | Predicted: -3.118202
mp-729390            | Ground Truth: 0.147537 | Predicted: 0.026602
mp-726128            | Ground Truth: 0.644144 | Predicted: -0.081837
mp-1199472           | Ground Truth: -1.020166 | Predicted: -1.126541
mp-606949            | Ground Truth: 0.006065 | Predicted: 0.005734
mp-1214378           | Ground Truth: 0.281776 | Predicted: 0.363847
mp-1227086           | Ground Truth: 0.261787 | Predicted: -0.052938
mp-645346            | Ground Truth: -0.260725 | Predicted: -0.309318
mp-644272            | Ground Truth: 0.200229 | Predicted: 0.076417
mp-1195390           | Ground Truth: -0.626731 | Predicted: -0.604719
mp-1245734           | Ground Truth: 0.255291 | Predicted: 0.389635
mp-1197876           | Ground Truth: -1.284278 | Predicted: -1.704835
mp-541989            | Ground Truth: -0.607621 | Predicted: -0.524728
