(base) root@fd3643bcbac3:~/my_codes/cgcnn_new# python predict.py pre-trained/formation-energy-per-atom.pth data/N_materials
Total CIF files found: 8459
Test set size: 1691 materials

==================== TEST RESULTS ====================
Number of test materials: 1691
MAE : 0.304595 eV/atom
MSE : 0.271514 (eV/atom)^2
====================================================

Material-wise Predictions:
mp-1216011           | Ground Truth: -0.198754 | Predicted: -0.201070
mp-989627            | Ground Truth: -0.584453 | Predicted: -0.621811
mp-1247468           | Ground Truth: -0.580651 | Predicted: -0.827045
mp-1017577           | Ground Truth: -1.098518 | Predicted: -0.973746
mp-610992            | Ground Truth: 0.068890 | Predicted: -0.183715
mp-557537            | Ground Truth: -0.751093 | Predicted: -0.741632
mp-1246963           | Ground Truth: -0.975375 | Predicted: -1.147094
mp-28202             | Ground Truth: -1.376361 | Predicted: -1.463434
mp-1247510           | Ground Truth: 0.338537 | Predicted: 0.081335
mp-739866            | Ground Truth: 1.520120 | Predicted: 0.306613
mp-1200969           | Ground Truth: -2.025613 | Predicted: -2.089952
mp-1194181           | Ground Truth: -0.822825 | Predicted: -0.795786
mp-1190987           | Ground Truth: -0.228983 | Predicted: -0.544785
mp-1237814           | Ground Truth: -0.981801 | Predicted: -2.030502
mp-1246960           | Ground Truth: -1.159892 | Predicted: -1.290916
mp-680180            | Ground Truth: -0.283975 | Predicted: -0.316435
mp-760007            | Ground Truth: -3.106227 | Predicted: -3.094592
mp-643432            | Ground Truth: -0.345092 | Predicted: -0.491876
mp-1218874           | Ground Truth: -0.735519 | Predicted: -0.673387
mp-1205168           | Ground Truth: -1.115309 | Predicted: -1.179529
mp-731726            | Ground Truth: 0.328581 | Predicted: -1.175634
mp-989641            | Ground Truth: -0.587465 | Predicted: -0.600460
mp-1014379           | Ground Truth: -0.534278 | Predicted: -0.667262
mp-1247493           | Ground Truth: -0.251660 | Predicted: -0.422134
mp-1210403           | Ground Truth: -1.301554 | Predicted: -2.118179
mp-1233552           | Ground Truth: -0.807939 | Predicted: -0.905613
mp-1181831           | Ground Truth: -0.716700 | Predicted: -0.964381
mp-1226927           | Ground Truth: -1.127657 | Predicted: -1.309634
mp-1104571           | Ground Truth: -1.097209 | Predicted: -1.161698
mp-1247506           | Ground Truth: 0.071188 | Predicted: -0.268750
mp-1245846           | Ground Truth: -0.620180 | Predicted: -0.852371
mp-1219906           | Ground Truth: 1.240060 | Predicted: 0.338381
mp-1192120           | Ground Truth: -0.673266 | Predicted: -2.113330
mp-1245920           | Ground Truth: -0.006799 | Predicted: -0.212365
mp-1246728           | Ground Truth: -0.073630 | Predicted: -0.377934
mp-569078            | Ground Truth: -0.245513 | Predicted: -0.226962
mp-1190169           | Ground Truth: 0.116209 | Predicted: 0.196687
mp-1196610           | Ground Truth: 0.710246 | Predicted: 0.341485
mp-1078956           | Ground Truth: 2.287606 | Predicted: 0.897189
mp-20374             | Ground Truth: -2.497833 | Predicted: -2.490330
mp-1223372           | Ground Truth: -1.295902 | Predicted: -1.364192
mp-1246017           | Ground Truth: -0.376365 | Predicted: -0.319811
mp-623837            | Ground Truth: 0.510918 | Predicted: 0.250033
mp-1222900           | Ground Truth: -3.062917 | Predicted: -3.059276
mp-1246427           | Ground Truth: -1.254969 | Predicted: -1.151593
mp-570568            | Ground Truth: -0.938162 | Predicted: -1.225224
mp-752580            | Ground Truth: -1.256176 | Predicted: -1.416353
mp-1233956           | Ground Truth: -2.305071 | Predicted: -2.455757
mp-672348            | Ground Truth: -0.149171 | Predicted: -0.187552
mp-754629            | Ground Truth: -0.361949 | Predicted: 0.053251
mp-1246936           | Ground Truth: -1.212035 | Predicted: -1.256241
mp-1245964           | Ground Truth: -0.774954 | Predicted: -0.837112
mp-1246119           | Ground Truth: 0.189325 | Predicted: 0.079794
mp-1245755           | Ground Truth: -0.119868 | Predicted: -0.393303
mp-1029504           | Ground Truth: -0.932142 | Predicted: -0.981660
mp-28969             | Ground Truth: -2.364161 | Predicted: -2.444076
mp-1190109           | Ground Truth: -1.378528 | Predicted: -1.374660
mp-1205986           | Ground Truth: 0.159141 | Predicted: -0.089719
mp-1227833           | Ground Truth: -0.610822 | Predicted: -1.024321
mp-759288            | Ground Truth: -1.097438 | Predicted: -1.223604
mp-1208258           | Ground Truth: -0.327399 | Predicted: -0.914393
mp-1192074           | Ground Truth: -0.705672 | Predicted: -0.982887
mp-722290            | Ground Truth: -0.878495 | Predicted: -1.391058
mp-2032711           | Ground Truth: -0.572164 | Predicted: -0.507948
mp-1245951           | Ground Truth: -1.224287 | Predicted: -1.450959
mp-1232897           | Ground Truth: -0.672267 | Predicted: -0.578870
mp-697666            | Ground Truth: -1.004290 | Predicted: -1.160454
mp-1029368           | Ground Truth: -1.117193 | Predicted: -1.122854
mp-1019895           | Ground Truth: -2.812224 | Predicted: -2.795912
mp-776314            | Ground Truth: -2.332184 | Predicted: -2.352330
mp-1246442           | Ground Truth: -0.932549 | Predicted: -1.093616
mp-676               | Ground Truth: -0.233358 | Predicted: -0.477598
mp-626542            | Ground Truth: -0.075317 | Predicted: -0.379206
mp-669471            | Ground Truth: -0.196105 | Predicted: -0.464588
mp-1245069           | Ground Truth: 0.010410 | Predicted: -0.390674
mp-1064119           | Ground Truth: 1.135709 | Predicted: 0.286022
mp-1104300           | Ground Truth: 0.302029 | Predicted: -0.647535
mp-1245410           | Ground Truth: -0.697149 | Predicted: -0.598412
mp-643754            | Ground Truth: -0.521614 | Predicted: -0.468651
mp-6574              | Ground Truth: -2.511803 | Predicted: -2.493758
mp-778905            | Ground Truth: -3.054945 | Predicted: -3.070474
mp-1976674           | Ground Truth: -1.257679 | Predicted: -1.385990
mp-13150             | Ground Truth: -1.412926 | Predicted: -1.344239
mp-754353            | Ground Truth: -1.800390 | Predicted: -1.655572
mp-730273            | Ground Truth: 1.596573 | Predicted: 0.264902
mp-1221211           | Ground Truth: -1.638878 | Predicted: -1.680600
mp-1246459           | Ground Truth: -0.627594 | Predicted: -0.945267
mp-1191677           | Ground Truth: 1.167155 | Predicted: 0.058614
mp-1194559           | Ground Truth: 0.853775 | Predicted: 0.040129
mp-567650            | Ground Truth: 0.020211 | Predicted: 0.038944
mp-1029520           | Ground Truth: -0.855734 | Predicted: -0.959964
mp-1070456           | Ground Truth: -1.164039 | Predicted: -1.438757
mp-1080538           | Ground Truth: 0.880163 | Predicted: -0.152131
mp-1245438           | Ground Truth: -0.976538 | Predicted: -0.931566
mp-558401            | Ground Truth: -1.633079 | Predicted: -1.601212
mp-1247352           | Ground Truth: -0.193063 | Predicted: -0.646979
mp-1179882           | Ground Truth: -0.043166 | Predicted: -0.384647
mp-1014287           | Ground Truth: 2.821368 | Predicted: 1.406442
mp-727063            | Ground Truth: 1.155347 | Predicted: 0.379291
mp-1246518           | Ground Truth: -0.199255 | Predicted: -0.261630
mp-1197888           | Ground Truth: 0.420535 | Predicted: -0.004889
mp-1246122           | Ground Truth: -0.535818 | Predicted: -0.521302
mp-1229178           | Ground Truth: -2.074715 | Predicted: -2.622353
mp-1246546           | Ground Truth: -0.839932 | Predicted: -1.066873
mp-1246232           | Ground Truth: -0.017375 | Predicted: -0.023448
