root@fd3643bcbac3:~/my_codes/cgcnn_new# python predict.py pre-trained/formation-energy-per-atom.pth data/regression
=> loading model params 'pre-trained/formation-energy-per-atom.pth'
=> loaded model params 'pre-trained/formation-energy-per-atom.pth'
=> loading model 'pre-trained/formation-energy-per-atom.pth'
=> loaded model 'pre-trained/formation-energy-per-atom.pth' (epoch 968, validation 0.03972001800748568)
/opt/conda/lib/python3.11/site-packages/pymatgen/core/structure.py:3109: UserWarning: Issues encountered while parsing CIF: 4 fractional coordinates rounded to ideal values to avoid issues with finite precision.
  struct = parser.parse_structures(primitive=primitive)[0]
/opt/conda/lib/python3.11/site-packages/pymatgen/core/structure.py:3109: UserWarning: Issues encountered while parsing CIF: 10 fractional coordinates rounded to ideal values to avoid issues with finite precision.
  struct = parser.parse_structures(primitive=primitive)[0]
/opt/conda/lib/python3.11/site-packages/pymatgen/core/structure.py:3109: UserWarning: Issues encountered while parsing CIF: 2 fractional coordinates rounded to ideal values to avoid issues with finite precision.
  struct = parser.parse_structures(primitive=primitive)[0]
/opt/conda/lib/python3.11/site-packages/pymatgen/core/structure.py:3109: UserWarning: Issues encountered while parsing CIF: 7 fractional coordinates rounded to ideal values to avoid issues with finite precision.
  struct = parser.parse_structures(primitive=primitive)[0]
/opt/conda/lib/python3.11/site-packages/pymatgen/core/structure.py:3109: UserWarning: Issues encountered while parsing CIF: 12 fractional coordinates rounded to ideal values to avoid issues with finite precision.
  struct = parser.parse_structures(primitive=primitive)[0]
/opt/conda/lib/python3.11/site-packages/pymatgen/core/structure.py:3109: UserWarning: Issues encountered while parsing CIF: 16 fractional coordinates rounded to ideal values to avoid issues with finite precision.
  struct = parser.parse_structures(primitive=primitive)[0]
/opt/conda/lib/python3.11/site-packages/pymatgen/core/structure.py:3109: UserWarning: Issues encountered while parsing CIF: 6 fractional coordinates rounded to ideal values to avoid issues with finite precision.
  struct = parser.parse_structures(primitive=primitive)[0]
^[/opt/conda/lib/python3.11/site-packages/pymatgen/core/structure.py:3109: UserWarning: Issues encountered while parsing CIF: 8 fractional coordinates rounded to ideal values to avoid issues with finite precision.
  struct = parser.parse_structures(primitive=primitive)[0]
/opt/conda/lib/python3.11/site-packages/pymatgen/core/structure.py:3109: UserWarning: Issues encountered while parsing CIF: 24 fractional coordinates rounded to ideal values to avoid issues with finite precision.
  struct = parser.parse_structures(primitive=primitive)[0]
/opt/conda/lib/python3.11/site-packages/pymatgen/core/structure.py:3109: UserWarning: Issues encountered while parsing CIF: 18 fractional coordinates rounded to ideal values to avoid issues with finite precision.
  struct = parser.parse_structures(primitive=primitive)[0]
/opt/conda/lib/python3.11/site-packages/pymatgen/core/composition.py:329: UserWarning: No Pauling electronegativity for He. Setting to NaN. This has no physical meaning, and is mainly done to avoid errors caused by the code expecting a float.
  return sum((el.X * abs(amt) for el, amt in self.items())) / self.num_atoms
/root/my_codes/cgcnn_new/cgcnn/data.py:334: UserWarning: mp-1179832_Rb not find enough neighbors to build graph. If it happens frequently, consider increase radius.
  warnings.warn('{} not find enough neighbors to build graph. '
Test: [0/1]	Time 1.225 (1.225)	Loss 0.1707 (0.1707)	MAE 0.221 (0.221)	MSE 0.191 (0.191)

Predicted formation energies with material formulas:
mp-11698_Tb: Target = 0.0030, Predicted = 0.0273
mp-11343_Th: Target = 0.1520, Predicted = -0.0079
mp-10753_Er: Target = 0.1390, Predicted = -0.0031
mp-21848_F2: Target = 0.7790, Predicted = -0.9380
mp-8635_Zr: Target = 0.0570, Predicted = -0.0245
mp-1938_Al2O3: Target = -3.3330, Predicted = -3.3504
mp-542909_Mn: Target = 0.0400, Predicted = 0.0870
mp-20372_Ce: Target = 0.0750, Predicted = 0.3658
mp-1456_Fe2O3: Target = -1.5880, Predicted = -1.7869
mp-2647044_Ta: Target = 0.2850, Predicted = 0.0668
mp-2646972_Zn: Target = 0.0050, Predicted = -0.0175
mp-22862_NaCl: Target = -2.0380, Predicted = -2.1112
mp-12883_P: Target = 0.1550, Predicted = 0.1143
mp-556269_S: Target = 0.0310, Predicted = -0.5210
mp-557376_S: Target = 0.0270, Predicted = -0.5061
mp-11446_Tb: Target = 0.1240, Predicted = 0.0502
mp-573697_CsCl: Target = -2.2450, Predicted = -2.2494
mp-1096835_Ba: Target = 0.5140, Predicted = 0.0964
mp-7098_Np: Target = 0.0790, Predicted = -0.0230
mp-8632_V: Target = 0.2470, Predicted = 0.0792
mp-10658_Dy: Target = 0.0120, Predicted = 0.0191
mp-21462_Eu: Target = 0.0000, Predicted = 0.0296
mp-22851_NaCl: Target = -1.8840, Predicted = -1.9709
mp-3347313_C: Target = 0.0000, Predicted = 0.0063
mp-2629196_Hg: Target = 0.0010, Predicted = 0.1385
mp-557546_Fe2O3: Target = -1.1790, Predicted = -1.5541
mp-555760_S: Target = 0.0290, Predicted = -0.5865
mp-23907_H2: Target = 2.3310, Predicted = -0.0822
mp-2739136_H2: Target = 0.0020, Predicted = -0.0777
mp-10869_S: Target = 0.6260, Predicted = -0.4107
mp-23154_Br: Target = 0.0000, Predicted = 0.0634
mp-1178958_U: Target = 0.0210, Predicted = -0.0136
mp-8639_Ru: Target = 0.1310, Predicted = 0.0017
mp-10654_Te: Target = 0.0470, Predicted = -0.1073
mp-1096915_Cs: Target = 0.0420, Predicted = -0.0373
mp-10752_Er: Target = 0.0670, Predicted = 0.0028
mp-10597_Ag: Target = 0.0080, Predicted = 0.0159
mp-10617_Sr: Target = 0.2590, Predicted = 0.1101
mp-2647025_Mn: Target = 0.0530, Predicted = 0.0886
mp-2646997_Pd: Target = 0.0230, Predicted = -0.0670
mp-1179802_Rb: Target = 0.0540, Predicted = 0.0476
mp-510080_Fe2O3: Target = -1.5760, Predicted = -1.8220
mp-1027525_MoS2: Target = -0.9620, Predicted = -1.0743
mp-1143_Al2O3: Target = -3.4270, Predicted = -3.3955
mp-10190_Lu: Target = 0.1030, Predicted = 0.0260
mp-2647000_Rh: Target = 0.3490, Predicted = 0.0528
mp-8637_Mo: Target = 0.4110, Predicted = 0.1540
mp-10661_Tm: Target = 0.1170, Predicted = 0.0770
mp-21377_Sm: Target = 0.0180, Predicted = -0.0060
mp-2647008_Al: Target = 0.0320, Predicted = -0.0629
mp-541848_B: Target = 0.7090, Predicted = 0.1381
mp-19770_Fe2O3: Target = -1.7070, Predicted = -1.7901
mp-2352722_Al2O3: Target = -3.2290, Predicted = -3.3299
