id,true_eform,pred_eform,error,material_id,abs_error,mean_cn,hybridization
mp-568363,0.008253912499998,0.0180539414286613,0.0098000289286633,mp-568363,0.009800028928663301,3.0,sp2-like
mp-1213058,-0.095743314310345,-0.0922462940216064,0.0034970202887385,mp-1213058,0.003497020288738592,6.0,sp3-like
mp-1219306,0.643749876723683,0.301015555858612,-0.3427343208650709,mp-1219306,0.342734320865071,3.0,sp2-like
mp-1180466,0.283993653373016,0.6776531934738159,0.3936595401007999,mp-1180466,0.3936595401007999,2.6,sp2-like
mp-22413,0.541687693333332,0.6450105905532837,0.1033228972199516,mp-22413,0.10332289721995169,2.0,sp-like
mp-1245492,0.218808658228449,0.0803975984454155,-0.1384110597830335,mp-1245492,0.1384110597830335,2.0,sp-like
mp-1216139,-1.0345759175,-1.0327640771865845,0.0018118403134155,mp-1216139,0.0018118403134155248,6.0,sp3-like
mp-1196187,-1.0755296015625,-1.0710699558258057,0.0044596457366943,mp-1196187,0.004459645736694329,3.0,sp2-like
mp-1226378,-0.036045381666667,-0.0686260983347892,-0.0325807166681222,mp-1226378,0.032580716668122206,6.0,sp3-like
mp-571589,0.518952600000001,0.0187179595232009,-0.5002346404768,mp-571589,0.5002346404768001,6.0,sp3-like
mp-758039,-1.70961527807018,-1.7037475109100342,0.0058677671601459,mp-758039,0.00586776716014592,3.0,sp2-like
mp-995285,0.252595421249999,0.244813323020935,-0.0077820982290639,mp-995285,0.007782098229064005,8.0,sp3-like
mp-1079380,0.333376974062501,0.0569568946957588,-0.2764200793667422,mp-1079380,0.2764200793667422,5.5,sp3-like
mp-614311,-0.665828705538793,-0.6044713258743286,0.0613573796644644,mp-614311,0.06135737966446442,1.0,sp-like
mp-1220737,-1.68986055640804,-1.6730318069458008,0.0168287494622392,mp-1220737,0.016828749462239223,3.0,sp2-like
mp-1205395,-2.558900798,-2.5203559398651123,0.0385448581348875,mp-1205395,0.038544858134887505,3.0,sp2-like
mp-1210863,0.236053628620689,-0.0302450582385063,-0.2662986868591953,mp-1210863,0.2662986868591953,2.0,sp-like
mp-1017356,0.349245378749999,0.3576704859733581,0.0084251072233591,mp-1017356,0.008425107223359096,8.0,sp3-like
mp-997182,0.014401535000001,0.0140817090868949,-0.000319825913106,mp-997182,0.0003198259131060987,3.0,sp2-like
mp-1217107,-1.71588578661458,-1.712383508682251,0.003502277932329,mp-1217107,0.0035022779323290454,6.0,sp3-like
mp-1068985,0.461389255750003,-0.08348198980093,-0.544871245550933,mp-1068985,0.544871245550933,3.0,sp2-like
mp-1030964,-2.08716564639062,-2.227532148361206,-0.1403665019705862,mp-1030964,0.1403665019705862,2.0,sp-like
mp-1199796,-2.49989322694444,-2.593250274658203,-0.0933570477137633,mp-1199796,0.0933570477137633,3.0,sp2-like
mp-729935,-0.355186661,-0.288183718919754,0.0670029420802459,mp-729935,0.06700294208024604,2.5,sp2-like
mp-567077,-0.589077448055557,-0.5798001289367676,0.0092773191187893,mp-567077,0.009277319118789373,2.0,sp-like
mp-569686,-1.19534589875,-1.1846715211868286,0.0106743775631714,mp-569686,0.010674377563171467,6.0,sp3-like
mp-1201399,-2.51490934916667,-2.540632963180542,-0.0257236140138719,mp-1201399,0.02572361401387191,3.0,sp2-like
mp-753812,-1.84999015952381,-1.864957451820373,-0.0149672922965635,mp-753812,0.014967292296563128,3.0,sp2-like
mp-1202876,-1.4443361265,-1.4642106294631958,-0.0198745029631957,mp-1202876,0.019874502963195706,3.0,sp2-like
mp-1022489,0.514922520624999,0.4298330545425415,-0.0850894660824574,mp-1022489,0.08508946608245749,8.0,sp3-like
mp-1204050,1.25661933356944,1.1988844871520996,-0.0577348464173403,mp-1204050,0.05773484641734039,2.0,sp-like
mp-1376593,-0.210386102727273,-0.2088923156261444,0.0014937871011286,mp-1376593,0.001493787101128602,2.0,sp-like
mp-611426,0.12258669875,0.1260427236557006,0.0034560249057006,mp-611426,0.0034560249057006,4.0,sp3-like
mp-29896,-0.4909917725,-0.5500076413154602,-0.0590158688154602,mp-29896,0.059015868815460226,6.0,sp3-like
mp-1199063,-0.274081882939849,-0.2771776020526886,-0.0030957191128396,mp-1199063,0.0030957191128396233,4.0,sp3-like
mp-9530,-0.258570687045455,-0.2732537090778351,-0.01468302203238,mp-9530,0.014683022032380089,5.428571428571429,sp3-like
mp-1026551,0.322764093984379,0.3443919420242309,0.0216278480398519,mp-1026551,0.021627848039851905,6.0,sp3-like
mp-1224869,-0.338883196666661,-0.2831065654754638,0.0557766311911971,mp-1224869,0.05577663119119719,6.0,sp3-like
mp-15856,-0.50251371933333,-0.5196484923362732,-0.0171347730029431,mp-15856,0.017134773002943193,6.0,sp3-like
mp-1192194,-0.389610581199999,-0.3755877017974853,0.0140228794025136,mp-1192194,0.014022879402513677,5.833333333333333,sp3-like
mp-1199826,0.733077601153844,0.8820001482963562,0.1489225471425121,mp-1199826,0.14892254714251218,1.6666666666666667,sp-like
mp-20180,-0.057280646758621,0.0375334471464157,0.0948140939050367,mp-20180,0.0948140939050367,6.0,sp3-like
mp-657985,-2.0671005459375,-2.0378310680389404,0.0292694778985596,mp-657985,0.029269477898559604,5.0,sp3-like
mp-1220656,-0.033754415269607,-0.0278512984514236,0.0059031168181833,mp-1220656,0.005903116818183399,6.0,sp3-like
mp-1208136,-1.26020824116071,-1.2453973293304443,0.0148109118302657,mp-1208136,0.014810911830265727,1.0,sp-like
mp-1087542,-0.113191747499998,-0.2026434242725372,-0.0894516767725392,mp-1087542,0.08945167677253921,5.5,sp3-like
mp-1215182,-0.926014017916665,-0.938313901424408,-0.0122998835077429,mp-1215182,0.012299883507742915,6.0,sp3-like
mp-1077787,0.298844184166666,-0.0443530529737472,-0.3431972371404133,mp-1077787,0.3431972371404132,1.0,sp-like
mp-1196291,-0.102498621477987,-0.0993083268404007,0.0031902946375862,mp-1196291,0.0031902946375862995,3.0,sp2-like
mp-1197162,-0.729794180140087,-0.732133150100708,-0.0023389699606209,mp-1197162,0.0023389699606209957,2.0,sp-like
mp-1212788,0.148129514285714,0.2382008135318756,0.0900712992461616,mp-1212788,0.09007129924616161,2.0,sp-like
mp-21854,1.60748746783333,1.2400712966918943,-0.3674161711414354,mp-21854,0.36741617114143565,0.0,sp-like
mp-27727,-1.049738864375,-0.7580168843269348,0.2917219800480652,mp-27727,0.29172198004806527,3.0,sp2-like
mp-1207385,-0.407802098854168,-0.3885667622089386,0.0192353366452294,mp-1207385,0.019235336645229417,5.5,sp3-like
mp-1196720,-1.56898525725,-1.559390425682068,0.0095948315679321,mp-1196720,0.00959483156793195,2.0,sp-like
mp-1026416,0.297977955937499,0.312039852142334,0.014061896204835,mp-1026416,0.014061896204835,6.0,sp3-like
